"",bin,full_add,point,precision
58158,670223301138,"ПАВЛОДАР,Толстого,125",76.976709 52.276007,exact
58229,670302450141,"ПАВЛОДАР,ул. Естая,81",76.960323 52.280652,exact
58231,670303301668,"ПАВЛОДАР,Пахомова,104/22",76.962596 52.249687,exact
58341,670315300308,"ПАВЛОДАР,ул. Академика Чокина,д. 99",76.962551 52.267956,exact
58518,670408301212,"ПАВЛОДАР,ул. Ломова, д. 150/4",76.977023 52.265409,exact
58658,670426450146,"ПАВЛОДАР,Академика Чокина,38/1",76.95143 52.267978,exact
58718,670503450342,"ПАВЛОДАР,ул. Тауелсыздык проспект,,41",76.968264 52.285522,exact
58725,670505450036,"ПАВЛОДАР,Мира,5",76.930427 52.30029,exact
58729,670506400184,"ПАВЛОДАР,ул.Толстого, д.90, Дом штор ""Галина""",76.975226 52.276497,exact
58849,670521450182,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
58956,670606350118,"ПАВЛОДАР,Промышленная зона восточная,261",77.026071 52.231285,near
58968,670607450070,"ПАВЛОДАР,ул.Естая,81",76.960323 52.280652,exact
59040,670618400103,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
59193,670710450167,"ПАВЛОДАР,ул. 1 Мая,д. 15/5",76.952571 52.293124,number
59216,670713301270,"ПАВЛОДАР,ул.Камзина,176",76.984605 52.261683,exact
59233,670714401480,"ПАВЛОДАР,пр. Тәуелсіздік,д. 41",76.968264 52.285522,exact
59242,670715350438,"ПАВЛОДАР,Естая ТД ""КВАЗАР"",81",76.960323 52.280652,exact
59253,670716400562,"ПАВЛОДАР,ул. Украинская,38 а",77.005419 52.29693,exact
59340,670727450390,"ПАВЛОДАР,Бекхожина,15",76.9509 52.250779,exact
59369,670801302237,"ПАВЛОДАР,ул.Естая,81",76.960323 52.280652,exact
59406,670804450478,"ПАВЛОДАР,ул. Целинная,д. 72",77.01733 52.296847,exact
59416,670806301048,"ПАВЛОДАР,Промышленная зона Цетральная",76.907556 52.30741,street
59496,670819300546,"ПАВЛОДАР,Проспект Тауелсiздiк,41",76.968264 52.285522,exact
59650,670911350403,"ПАВЛОДАР,ул. Ломова,д. 60",76.963036 52.264682,exact
59667,670913450331,"ПАВЛОДАР,ул. Тәуелсіздік проспект,д. 30",76.965776 52.284823,exact
59951,671019350123,"ПАВЛОДАР,ул.Ломова, д.2",76.94215 52.263701,exact
60008,671029400729,"ПАВЛОДАР,Тауелсiздiк проспект,30",76.965776 52.284823,exact
60056,671103400077,"ПАВЛОДАР,ул. Торайгырова,д. 113",76.969217 52.298026,exact
60081,671107400772,"ПАВЛОДАР,ул. Толстого,д.90",76.975226 52.276497,exact
60143,671117401478,"ПАВЛОДАР,Розы  Люксембурга,113",76.967303 52.270265,exact
60238,671129400039,"ПАВЛОДАР,1-ый Зеленый переулок,23",76.958149 52.302812,exact
60301,671209400063,"ПАВЛОДАР,ул. Торайгырова, д. 14 оф. 5 Звезд",76.931227 52.298186,exact
60332,671213450319,"ПАВЛОДАР,Камзина,171",76.985629 52.262251,exact
60333,671214301082,"ПАВЛОДАР,ул.Ген.Дюсенова, д.8",76.944145 52.295603,exact
60339,671215350026,"ПАВЛОДАР,Транспортная,4",77.033024 52.286932,number
60403,671224450369,"ПАВЛОДАР,Суворова,8",76.974615 52.287549,exact
60431,671229400131,"ПАВЛОДАР,Академика Сатпаева,245/1",76.9433 52.269389,exact
60452,680101350263,"ПАВЛОДАР,ул. ПРОМЫШЛЕННАЯ ЗОНА ВОСТОЧНАЯ",77.08668 52.3326,other
60608,680116400225,"ПАВЛОДАР,ул. Академика Сатпаева,д. 35",76.941477 52.288684,exact
60754,680206350135,"ПАВЛОДАР,Мира,17",76.937111 52.299871,exact
60795,680212350099,"ПАВЛОДАР,Лермонтова,84",76.952831 52.291262,exact
60806,680212450342,"ПАВЛОДАР,ул.Р.Люксембург, д.113/1, б.201.5",76.919234 52.315938,exact
60836,680216401663,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
60858,680218450157,"ПАВЛОДАР,ул.Естая, д.81, ТД ""КВАЗАР"", бут.228",,none
60984,680304400069,"ПАВЛОДАР,Торайгырова ТД ""Отау"",113",76.969217 52.298026,exact
61005,680306450046,"ПАВЛОДАР,ул.Архангельская, д.1/11",77.021355 52.303654,number
61034,680309400323,"ПАВЛОДАР,Камзина,171",76.985629 52.262251,exact
61157,680323450099,"ПАВЛОДАР,ул.Привокзальная,1",76.970582 52.299546,exact
61225,680401350076,"ПАВЛОДАРСКОЕ,Садовая,82 А",76.857179 52.394407,number
61453,680501300698,"ПАВЛОДАР,ул. Ак. Сатпаева, д. 35",76.941477 52.288684,exact
61512,680509401389,"ПАВЛОДАР,ул. Ак. Сатпаева, д. 63 ТД Старый ЦУМ, бут. 69",76.941827 52.28117,near
61528,680511450106,"ПАВЛОДАР,ул.1Мая,21",76.952032 52.292309,exact
61717,680609450390,"ПАВЛОДАР,ул.Катаева, д.113",76.976412 52.257411,exact
61792,680619400795,"ПАВЛОДАР,ул.Камзина,164",76.984263 52.264335,exact
61907,680702450118,"ПАВЛОДАР,ул. Академика Бектурова,д. 111",76.949705 52.282553,exact
61955,680709450116,"ПАВЛОДАР,ул.Камзина,171",76.985629 52.262251,exact
61983,680713300175,"ПАВЛОДАР,Кубанская,61",76.963 52.254539,exact
61999,680714400444,"ПАВЛОДАР,Дерибаса,17",76.973115 52.294,exact
62145,680803350239,"ПАВЛОДАР,ул.Лермонтова, д.86",76.954224 52.291317,exact
62165,680805400607,"ПАВЛОДАР,Айманова,47",76.925415 52.300449,exact
62169,680806301456,"ПАВЛОДАР,Торайгырова,10/1",76.930571 52.299954,exact
62377,680902400208,"ПАВЛОДАР,пр.Тауелсыздык,30",76.965776 52.284823,exact
62414,680906450276,"ПАВЛОДАР,ул. Тауелсыздык проспект,41",76.968264 52.285522,exact
62415,680906450335,"ПАВЛОДАР,ул. Ломова,д. 179/А",76.987686 52.263828,exact
62424,680908401318,"ПАВЛОДАР,ул. Тауелсіздік проспект, д. 41, бут. 388",,none
62440,680910300572,"ПАВЛОДАР,пр.Тауелсiздiк, д.41, ТД ""Артур 6"", бут.6.020",,none
62511,680920301664,"ПАВЛОДАР,ул. Кутузова,д. 41",76.968264 52.285522,exact
62712,681015450364,"ПАВЛОДАР,Лермонтова,53",76.945618 52.290271,exact
62741,681019300442,"ПАВЛОДАР,1 мая,21/1",76.952113 52.291626,exact
62755,681020450103,"ПАВЛОДАР,Естая ТД ""КВАЗАР"",81",76.960323 52.280652,exact
62770,681022499028,"ПАВЛОДАР,2-ая Советов,18/1",76.953245 52.25202,exact
62985,681119450101,"ПАВЛОДАР,Абая,150",76.954332 52.279627,exact
63062,681130301503,"ПАВЛОДАР,пром. Зона ул. Восточная,стр 4",76.867698 52.384404,exact
63077,681202400979,"ПАВЛОДАР,ул. Потанина,51",76.95602 52.258321,exact
63275,681231350075,"ПАВЛОДАР,ул. Лермонтова,62",76.949238 52.291339,exact
63277,681231450051,"ПАВЛОДАР,пр.независимости,30",76.965776 52.284823,exact
63427,690115350023,"ПАВЛОДАР,ул.Торговая, д.2/4",76.949615 52.30921,exact
63457,690119401003,"ПАВЛОДАР,пр.Тауелсiздiк, д.42, бут.410",76.97042 52.264373,street
63470,690121300189,"ПАВЛОДАР,ул.Строителей,29",76.921274 52.032322,near
63472,690121300664,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
63498,690123400126,"ПАВЛОДАР,ул. Тауелсіздік проспект, д. 30, кв. бут. №201",76.940722 52.285577,other
63526,690127401919,"ПАВЛОДАР,1 Мая,15",76.952571 52.293124,exact
63536,690129300846,"ПАВЛОДАР,ул. Естая,81",76.960323 52.280652,exact
63616,690205450277,"ПАВЛОДАР,ул. Чкалова, д. 118/2, кв. 1",76.999813 52.299326,exact
63617,690206300248,"ПАВЛОДАР,Короленко,146",76.956982 52.279208,exact
63632,690207450575,"ПАВЛОДАР,Луначарского,28Б",76.95346 52.277561,number
63646,690209450129,"ПАВЛОДАР,ул.Тәуелсіздік, д.41, бут.5.255",76.968264 52.285522,exact
63668,690211450100,"ПАВЛОДАР,Камзина,358/3",76.994316 52.241278,exact
63853,690306400824,"ПАВЛОДАР,ул. Тәуелсіздік проспект,д. 30",76.965776 52.284823,exact
63963,690317402315,"ПАВЛОДАР,ул. Павлова, д. 21, кв. (офис) 11",76.976511 52.289153,number
64031,690326450037,"ПАВЛОДАР,ул.Естая, д.81, ТД ""Квазар"", бут.2.42",76.960323 52.280652,exact
64190,690418300024,"ПАВЛОДАР,ул. Чкалова,д. 130/1",77.002715 52.299117,exact
64272,690429400942,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
64276,690429450196,"ПАВЛОДАР,ул. Естая,д. 81",76.960323 52.280652,exact
64327,690505401269,"ПАВЛОДАР,ул.Ак.Сатпаева, д.63, бут 64",76.942105 52.28242,near
64409,690515450232,"ПАВЛОДАР,Ленина,160/4",76.938737 52.277092,exact
64414,690516350350,"ПАВЛОДАР,ул.Короленко,12",76.954781 52.292144,exact
64454,690521401910,"ПАВЛОДАР,ул. Кутузова, д. 174",76.969531 52.258012,exact
64513,690528400336,"ПАВЛОДАР,Кутузова,41",76.968264 52.285522,exact
64659,690616450152,"ПАВЛОДАР,проспект Тауелсыздык,41",76.968264 52.285522,exact
64826,690708450083,"ПАВЛОДАР,1 Мая,21",76.952032 52.292309,exact
64849,690713300048,"ПАВЛОДАР,ул. Ленина,д. 153/1",76.940758 52.276106,exact
64915,690722400073,"ПАВЛОДАР,Кутузова,30",76.965776 52.284823,exact
64916,690722401468,"ПАВЛОДАР,Абая,150",76.954332 52.279627,exact
64974,690729450593,"ПАВЛОДАР,ул. Бекхожина, д. 7, кв. (офис) 41,42",76.953559 52.25009,number
65048,690809350076,"ПАВЛОДАР,Транспортная,8/21",77.035845 52.288596,number
65066,690811400186,"ПАВЛОДАР,ул. Астана,141",76.939725 52.279352,exact
65144,690822401253,"ПАВЛОДАР,ул. Естая,д. 81",76.960323 52.280652,exact
65224,690904350032,"ПАВЛОДАР,ул. Суворова, д. 6, кв. (офис) 147",76.971795 52.28745,number
65253,690909401781,"ПАВЛОДАР,ул. Айманова, д. 17",76.919055 52.299326,exact
65291,690915350111,"ПАВЛОДАР,ул. Естая,81",76.960323 52.280652,exact
65305,690916401333,"ПАВЛОДАР,ул. Ломова,д. 179 А",76.987686 52.263828,exact
65368,690925450053,"ПАВЛОДАР,пр.Тауелсiздiк, д.41, б.226",76.975684 52.249528,exact
65519,691014450142,"ПАВЛОДАР,ул.1 Мая, д.14, кв.2",76.950181 52.292551,exact
65608,691028301194,"ПАВЛОДАР,Бекхожина,15/1",76.951125 52.251595,exact
65627,691031400199,"ПАВЛОДАР,Естая,99",76.978074 52.285836,exact
65633,691101400872,"ПАВЛОДАР,Циолковского,12",76.979269 52.271367,exact
65696,691110450095,"ПАВЛОДАР,Ак.Бектурова,16",76.94666 52.294,exact
65858,691201401874,"ПАВЛОДАР,ул. Толстого,82",76.965489 52.276255,exact
65892,691207300149,"ПАВЛОДАР,ул. Циолковского, д. 24/1",76.984937 52.271698,exact
65941,691213400950,"ПАВЛОДАР,ул. Тауелсыздык проспект,41",76.968264 52.285522,exact
66000,691221400429,"ПАВЛОДАР,ул. Ворушина,д. 4/1",76.988162 52.270281,exact
66148,700107450259,"ПАВЛОДАР,Ломова,37",76.954017 52.262863,exact
66162,700109450309,"ПАВЛОДАР,ул. Кутузова,31",76.96892 52.2881,exact
66263,700122350244,"ПАВЛОДАР,ул. Тауелсыздык проспект,41",76.968264 52.285522,exact
66450,700215301474,"ПАВЛОДАР,ул. Транспортная,13/13",77.029233 52.297294,number
66471,700217400290,"ПАВЛОДАР,ул. Академика Сатпаева,65",76.942061 52.281892,exact
66484,700218450113,"ПАВЛОДАР,ул. Мира, д. 36/1",76.94525 52.299381,exact
66512,700222400515,"ПАВЛОДАР,ул. Ак. Сатпаева,63/1",76.941845 52.282261,exact
66541,700226301281,"ПАВЛОДАР,Транспортная,4",77.033024 52.286932,number
66618,700306401361,"ПАВЛОДАР,Айманова,42",76.926924 52.302035,exact
66640,700308450406,"ПАВЛОДАР,Камзина,58",76.981667 52.283941,exact
66641,700309301500,"ПАВЛОДАР,Кутузова,41",76.968264 52.285522,exact
66723,700316450453,"ПАВЛОДАР,ул. Привокзальная площадь, д. 1",76.970582 52.299546,exact
66734,700317450042,"ПАВЛОДАР,ул. Мира, д. 5/3, Цветочный павильон",76.930427 52.30029,number
66815,700327401732,"ПАВЛОДАР,ул.Астана,53",76.938395 52.291786,exact
66923,700407400848,"ПАВЛОДАР,ул. Павлова,д. 31",76.976969 52.288155,exact
67039,700421450286,"ПАВЛОДАР,ул.Тәуелсіздік, д.41, к.19",76.968264 52.285522,number
67448,700611300266,"ПАВЛОДАР,Гагарина,46а, 47",76.972747 52.261138,number
67457,700611450040,"ПАВЛОДАР,ул.Московская, д.74/1, оф.2",76.983239 52.290546,number
67475,700614400447,"ПАВЛОДАР,Малая объездная АЗС-1,1",76.940722 52.285577,other
67483,700615300238,"ПАВЛОДАР,Торайгырова,64",76.958104 52.297756,exact
67608,700703450146,"ПАВЛОДАР,ул. 1Мая, д. 21, 1 этаж к-т Ад-ция",76.952032 52.292309,exact
67630,700707400442,"ПАВЛОДАР,ул. Академика Сатпаева,д. 35",76.941477 52.288684,exact
67668,700712400429,"ПАВЛОДАР,Абая,188",76.954996 52.276343,exact
67784,700727450507,"ПАВЛОДАР,ул.Катаева,34/1",76.973564 52.276955,number
67844,700803401115,"ПАВЛОДАР,1 Мая,15/5",76.952571 52.293124,number
67899,700810450409,"ПАВЛОДАР,Астана,16",76.936994 52.291852,exact
67949,700817400956,"ПАВЛОДАР,пр. Тәуелсіздік,д. 41",76.968264 52.285522,exact
67981,700821350204,"ПАВЛОДАР,Катаева,12",76.972828 52.283385,exact
68022,700827400693,"ПАВЛОДАР,ул.Алсеитова , д.31",77.004071 52.255614,exact
68032,700828400847,"ПАВЛОДАР,Хабаровская,104",77.013306 52.29254,exact
68158,700910450333,"ПАВЛОДАР,ул. Лермонтова,кв. 63",76.954143 52.290932,street
68198,700916401724,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
68274,700925450068,"ПАВЛОДАР,ул. Новосибирская, д. 21/1",76.991136 52.246688,number
68408,701010450303,"ПАВЛОДАР,Центральный промышленный район,-",77.015363 52.27037,other
68449,701017300051,"ПАВЛОДАР,ул. Транспортная,13",77.029233 52.297294,exact
68544,701031400986,"ПАВЛОДАР,Кенжеколь,Площадь Конституции,3",77.027643 52.185507,exact
68599,701107350077,"ПАВЛОДАР,ул. Ак. Сатпаева, д. 145",76.942779 52.271802,exact
68617,701108450346,"ПАВЛОДАР,Розы Люксембург,113",76.967303 52.270265,exact
68685,701118350087,"ПАВЛОДАР,Тауелсiздiк проспект,169",76.971453 52.259286,exact
68702,701120400464,"ПАВЛОДАР,ул. Катаева,д. 14",76.972936 52.282564,exact
68821,701205401305,"ПАВЛОДАР,ул. Ак. Сатпаева, д. 130, кв. 15",76.940183 52.283891,exact
68852,701210300010,"ПАВЛОДАР,ул. Промышленная зона СЕВЕРНАЯ",76.940722 52.285577,other
68897,701217401221,"ПАВЛОДАР,Академика Чокина,87",76.956398 52.26714,exact
69083,710107401556,"ПАВЛОДАР,Академика Сатпаева,73",76.941917 52.280443,exact
69148,710115401048,"ПАВЛОДАР,Тауелсыздык проспек,41",76.968264 52.285522,exact
69154,710117301677,"ПАВЛОДАР,пр.Тауелсiздiк, д.41, ТД ""Артур"", бут.219",,none
69156,710117400318,"ПАВЛОДАР,Крупской,61",76.949112 52.294435,exact
69171,710119301559,"ПАВЛОДАР,ул. 1 Мая, д. 21, бут. 135",76.952786 52.281825,exact
69203,710122401809,"ПАВЛОДАР,ул. Дружбы,53/1",77.016585 52.184325,number
69237,710127450202,"ПАВЛОДАР,ул. Тауелсіздік проспект, д. 204, оф. 521",76.940722 52.285577,other
69245,710128450116,"ПАВЛОДАР,Ломова,155-1",76.979206 52.263822,number
69276,710202402049,"ПАВЛОДАР,ул. Амангельды,19/2",76.964321 52.255984,number
69310,710206350490,"ПАВЛОДАР,ул. Тауелсіздік проспект, д. 41, бут. 310",,none
69368,710212450023,"ПАВЛОДАР,ул. Амангельды, д.50, кв. н.п. 17",76.963584 52.255129,exact
69384,710214450321,"ПАВЛОДАР,Катаева,60/1",76.974912 52.263706,exact
69421,710220350497,"ПАВЛОДАР,ул. Толстого,86",76.970977 52.276316,exact
69481,710228350470,"ПАВЛОДАР,ул. Катаева, д. 133, маг. ""Табыс""",76.977095 52.254517,exact
69773,710405450062,"ПАВЛОДАР,ул. Естая,81",76.960323 52.280652,exact
69959,710429300902,"ПАВЛОДАР,Тауелсiздiк,42",76.967609 52.277065,exact
70246,710601401149,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
70365,710614350062,"ПАВЛОДАР,Проезд-А,9",76.890848 52.325891,near
70385,710616401051,"ПАВЛОДАР,ул. Тауелсiздiк проспект, д. 30, кв. бут. 215 Б",76.97193 52.254451,number
70393,710617350079,"ПАВЛОДАР,Торговая,1/8",76.926493 52.308621,number
70499,710701401589,"ПАВЛОДАР,ул. Тәуелсіздік проспект,д. 41",76.968264 52.285522,exact
70537,710706499041,"ПАВЛОДАР,Естая,99",76.978074 52.285836,exact
70636,710718401600,"ПАВЛОДАР,Привокзальная площадь,1а",76.969504 52.300053,exact
70829,710809450643,"ПАВЛОДАР,ул. 1 Мая,д. 383",76.955805 52.261854,exact
70835,710810401809,"ПАВЛОДАР,проспект Тауелсыздык,41",76.968264 52.285522,exact
70857,710813350054,"ПАВЛОДАР,ул. Тауелciздiк проспект, д. 173",76.940722 52.285577,other
70976,710826450349,"ПАВЛОДАР,1 Мая,15/1",76.952571 52.293124,number
70985,710828301147,"ПАВЛОДАР,Толстого,30",76.952247 52.275588,exact
71012,710831350072,"ПАВЛОДАР,ул. Суворова, д. 11/1",76.995232 52.286927,exact
71048,710903300087,"ПАВЛОДАР,ул.Камзина, д.51, ОРЦ ""Байтерек"", бут.№55",,none
71066,710905400580,"ПАВЛОДАР,ул. Естая,д. 81",76.960323 52.280652,exact
71262,710928450076,"ПАВЛОДАР,Естая,81",76.960323 52.280652,exact
71287,711002301981,"ПАВЛОДАР,пр.Тәуелсіздік,58",76.968893 52.265939,exact
71340,711007450246,"ПАВЛОДАР,ул. Ак. Сатпаева, д. 35",76.941477 52.288684,exact
71446,711021450256,"ПАВЛОДАР,1 Мая,15",76.952571 52.293124,exact
71598,711108450070,"ПАВЛОДАР,ул. Генерала Дюсенова,д. 106",76.945753 52.278321,exact
71649,711114402310,"ПАВЛОДАР,ул. Молодежная,12/1",76.980437 52.248634,number
71663,711116350038,"ПАВЛОДАР,ул. Естая,д. 81",76.960323 52.280652,exact
71709,711121450626,"ПАВЛОДАР,ул.Ак.Сатпаева, д.37",76.941198 52.287649,exact
71753,711129401651,"ПАВЛОДАР,пр.Тауелсыздык,21",76.967689 52.289775,exact
71825,711207450039,"ПАВЛОДАР,Ломова,167",76.982754 52.264748,exact
71852,711211350212,"ПАВЛОДАР,ул. Кутузова,д. 89/2",76.96998 52.274332,exact
71998,720101401211,"ПАВЛОДАР,ул. Рылеева,д. 19",76.959641 52.253911,exact
72139,720116450043,"ПАВЛОДАР,ул. Комсомольская,107",76.992636 52.288029,exact
72186,720122450224,"ПАВЛОДАР,Камзина,171",76.985629 52.262251,exact
72227,720128450415,"ПАВЛОДАР,ул.Володарского, д.5",76.94993 52.289769,exact
72244,720130350429,"ПАВЛОДАР,ул. Ак. Сатпаева,253/1",76.943704 52.264665,exact
72257,720201400752,"ПАВЛОДАР,ул.Гагарина, д.82/1",76.990579 52.262058,exact
72424,720219401799,"ПАВЛОДАР,ул. Торайгырова,14",76.931227 52.298186,exact
72433,720220499051,"ПАВЛОДАР,Ак.Сатпаева,63/1",76.941845 52.282261,exact
72480,720225450383,"ПАВЛОДАР,Торайгырова,6",76.925855 52.297459,exact
72516,720301450633,"ПАВЛОДАР,ул.Целинная,91",77.019298 52.293124,exact
72553,720306350298,"ПАВЛОДАР,Ак. Чокина,38/1",76.95143 52.267978,exact
72661,720317400238,"ПАВЛОДАР,1 мая,21",76.952032 52.292309,exact
72676,720319450582,"ПАВЛОДАР,ул. Гагарина,74",76.988476 52.262229,near
72997,720428450021,"ПАВЛОДАР,пр.Тауелсiздiк, д. 41 Ярмарочный комплекс, ряд 2, павл. 46",,none
73043,720503450037,"ПАВЛОДАР,ул. Тәуелсіздік проспект,д. 93/1",76.97016 52.273808,exact
73082,720509400033,"ПАВЛОДАР,Лермонтова,49",76.943642 52.290221,exact
73100,720510450025,"ПАВЛОДАР,Ак. Сатпаева,63",76.942105 52.28242,exact
73135,720514450067,"ПАВЛОДАР,ул. 1 Мая, д. 1, кв. 16",76.951807 52.296484,exact
73401,720620350087,"ПАВЛОДАР,ул.Торайгырова, д.113, ТД ""Отау"", бут. 45",,none
73565,720710450121,"ПАВЛОДАР,ул. Центральный промышленный район",77.015363 52.27037,other
73665,720725450689,"ПАВЛОДАР,Академика Бектурова,56",76.946292 52.288883,exact
73674,720728350381,"ПАВЛОДАР,ул. Северная пром.зона,1780/1",76.982853 52.311826,street
73677,720728400906,"ПАВЛОДАР,Камзина,158/1",76.983392 52.266468,number
73850,720819450015,"ПАВЛОДАР,ул. Академика Чокина, д. 147/4, кв. Кафе",76.97307 52.268319,number
73894,720825400190,"ПАВЛОДАР,ул.1мая,15",76.952571 52.293124,exact
73903,720826450458,"ПАВЛОДАР,ул. Естая,81",76.960323 52.280652,exact
73917,720828401462,"ПАВЛОДАР,ул.Ткачёва д.3А",76.942626 52.251391,exact
73968,720906301033,"ПАВЛОДАР,ул. Северный пром район, д. -",76.920869 52.366008,other
74009,720910401577,"ПАВЛОДАР,Естая,33/1",76.937919 52.280393,number
74099,720921350340,"ПАВЛОДАР,ул. Кутузова,41",76.968264 52.285522,exact
74132,720924450026,"ПАВЛОДАР,ул. Проспект Нурсултана Назарбаева,231",76.977203 52.249588,exact
74251,721008450396,"ПАВЛОДАР,пр.Тауелсiздiк, д.41, Ярмарочный комплекс, стройряд 3",76.967384 52.292766,exact
74408,721027450489,"ПАВЛОДАР,Кутузова,41",76.968264 52.285522,exact
74527,721111450188,"ПАВЛОДАР,Кутузова,291",76.992267 52.239828,exact
74536,721113302360,"ПАВЛОДАР,ул.Камзина, д.3, бут.17",76.98191 52.291477,exact
74611,721122400072,"ПАВЛОДАР,ул.1 Мая, д.21, бут.504",76.953011 52.275351,street
74636,721125350227,"ПАВЛОДАР,Якова Геринга,9",76.978352 52.295851,exact
74680,721130400145,"ПАВЛОДАР,ул. 1 Мая,21",76.952032 52.292309,exact
74986,730107350179,"ПАВЛОДАР,Камзина,29",76.982036 52.290458,number
75224,730205450099,"ПАВЛОДАР,Проспект Тауелсiздiк,287",76.990641 52.24097,exact
75239,730207350083,"ПАВЛОДАР,ул.Сулейменова,д.22/1",77.02263 52.301683,exact
75272,730210450521,"ПАВЛОДАР,Каирбаева,76",76.954619 52.2875,exact
75312,730215300123,"ПАВЛОДАР,Проспект Нурсултана Назарбаева,30",76.965776 52.284823,exact
75350,730219450431,"ПАВЛОДАР,ул.Торайгырова, д.85",76.956676 52.296605,exact
75403,730226450281,"ПАВЛОДАР,Естая,91",76.974184 52.28398,exact
75471,730307450360,"ПАВЛОДАР,ул. Крупской,76",76.949112 52.294821,exact
75473,730308402198,"ПАВЛОДАР,Камзина,67/1",76.9903 52.274932,exact
75480,730309300408,"ПАВЛОДАР,Академика Сатпаева,156",76.940785 52.28128,exact
75616,730327402469,"ПАВЛОДАР,проспект Тауелсыздык,41",76.968264 52.285522,exact
75749,730413450010,"ПАВЛОДАР,Гагарина,85",76.978882 52.260311,exact
75774,730417401083,"ПАВЛОДАР,ул. Кутузова,130",76.97042 52.264373,street
75800,730420450296,"ПАВЛОДАР,ул.Кутузова 58",76.968893 52.265939,exact
75850,730428401083,"ПАВЛОДАР,ул. Лермонтова,45/1",76.942168 52.289979,exact
75876,730501400587,"ПАВЛОДАР,Муткенова,103/1",76.998816 52.288877,number
75891,730502450489,"ПАВЛОДАР,ул. Кутузова,34",76.967285 52.279671,exact
76005,730518350311,"ПАВЛОДАР,Каирбаева,74",76.950136 52.287676,exact
76026,730520450616,"ПАВЛОДАР,ул. Камзина, д. 132 Баня",76.983572 52.270733,exact
76065,730525450732,"ПАВЛОДАР,Циолковского,15",76.980778 52.270788,exact
76082,730528450045,"ПАВЛОДАР,ул. Мира,д. 52Б",76.952517 52.298219,number
76090,730529450447,"ПАВЛОДАР,ул. Торайгырова, д. 1 гостиница Сары-Арка, кв. каб. 312",76.951664 52.296809,street
76179,730608450179,"ПАВЛОДАР,Тауелсiздiк,41",76.968264 52.285522,exact
76209,730613450166,"ПАВЛОДАР,Ас,16",76.940722 52.285577,other
76238,730618400127,"ПАВЛОДАР,ул. Торайгырова,113",76.969217 52.298026,exact
76291,730626450533,"ПАВЛОДАР,проспект Тауелсыздык,41",76.968264 52.285522,exact
76298,730627450053,"ПАВЛОДАР,Павлова,36/3",76.974714 52.289825,exact
76423,730714350199,"ПАВЛОДАР,ул. 1 Мая,21/1",76.952113 52.291626,exact
76449,730717400323,"ПАВЛОДАР,Академика Сатпаева,63/1",76.941845 52.282261,exact
76486,730721350246,"ПАВЛОДАР,Торайгырова,76/1",76.967995 52.299012,exact
76515,730724400470,"ПАВЛОДАР,1 Мая,11",76.951834 52.294127,exact
76551,730730450043,"ПАВЛОДАР,пр-т Нурсултана Назарбаева,д. 30",76.965776 52.284823,exact
76909,730919450148,"ПАВЛОДАР,Торговая,1/8",76.926493 52.308621,number
77266,731103400427,"ПАВЛОДАР,Ак.Маргулана,118",76.943282 52.280454,exact
77280,731105400339,"ПАВЛОДАР,Торайгырова,113",76.969217 52.298026,exact
77310,731108450173,"ПАВЛОДАР,Естая,144",76.973511 52.284856,exact
77342,731112450284,"ПАВЛОДАР,Академика Чокина,38/1",76.95143 52.267978,exact
77347,731113400818,"ПАВЛОДАР,ул. Тәуелсіздік проспект,д. 41",76.968264 52.285522,exact
77361,731115400244,"ПАВЛОДАР,ул. 1 МАЯ,21",76.952032 52.292309,exact
77370,731116401064,"ПАВЛОДАР,ул. Р. Люксембург, д. 113, бут. 210",,none
77411,731123350387,"ПАВЛОДАР,Лермонтова,127",76.970196 52.289803,exact
77427,731125450453,"ПАВЛОДАР,Ломова,181/2",76.994971 52.264291,exact
77490,731205402468,"ПАВЛОДАР,ул. Кутузова, д. 283/1",76.988953 52.242062,exact
77562,731216450041,"ПАВЛОДАР,ул.Ленина,6-1",76.937129 52.29487,number
77655,731230450028,"ПАВЛОДАР,ул. Толстого, д. 96",76.97855 52.276635,exact
77726,740105450067,"ПАВЛОДАР,1,21/1",76.940722 52.285577,other
77978,740204350118,"ПАВЛОДАР,Естая ТД ""КВАЗАР"",81",76.960323 52.280652,exact
77983,740204402045,"ПАВЛОДАР,ул. Камзина,3",76.981658 52.296175,exact
77984,740204450114,"ПАВЛОДАР,Академика Сатпаева,35",76.941477 52.288684,exact
78036,740210400170,"ПАВЛОДАР,ул. 1 Мая,21",76.952032 52.292309,exact
78196,740303401154,"ПАВЛОДАР,ул. Tayeлсіздік проспект,д.42",76.940722 52.285577,other
78208,740305450232,"ПАВЛОДАР,проспект Нурсултана Назарбаева,48/1",76.968148 52.270177,exact
78294,740316400147,"ПАВЛОДАР,Лермонтова,96/1",76.958985 52.291499,exact
78499,740411450358,"ПАВЛОДАР,Привокзальная,1а",76.969504 52.300053,exact
78613,740424450418,"ПАВЛОДАР,Привокзальная  площадь,1/8",76.970582 52.299546,number
